Gait ID; VID_RGB_076; VID_RGB_076; VID_RGB_076; VID_RGB_076; VID_RGB_077; VID_RGB_077; VID_RGB_077; VID_RGB_077; VID_RGB_078; VID_RGB_078; VID_RGB_078; VID_RGB_078; VID_RGB_079; VID_RGB_079; VID_RGB_079; VID_RGB_079; VID_RGB_080; VID_RGB_080; VID_RGB_080; VID_RGB_080; VID_RGB_081; VID_RGB_081; VID_RGB_081; VID_RGB_081; VID_RGB_082; VID_RGB_082; VID_RGB_082; VID_RGB_082; VID_RGB_083; VID_RGB_083; VID_RGB_083; VID_RGB_083
Question;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral;The person in the video appears ... - Happy;The person in the video appears ... - Angry;The person in the video appears ... - Sad;The person in the video appears ... - Neutral
Participant 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;1
Participant 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 5;;;;;;;;;;;;;;;;;2;4;1;1;;;;;;;;;;;;
Participant 6;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;5;;;;
Participant 7;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 8;;;;;4;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
Participant 9;;;;;;;;;2;1;1;5;;;;;1;5;2;2;;;;;;;;;;;;
Participant 10;;;;;;;;;;;;;;;;;;;;;3;1;1;4;;;;;;;;
Participant 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;4;4
Participant 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;2
Participant 14;;;;;4;1;1;2;4;1;1;2;;;;;;;;;;;;;;;;;;;;
Participant 15;;;;;;;;;3;2;1;5;1;4;4;5;;;;;;;;;;;;;;;;
Participant 16;;;;;;;;;;;;;3;1;1;5;;;;;;;;;;;;;;;;
Participant 17;;;;;;;;;;;;;;;;;;;;;;;;;4;2;2;3;;;;
Participant 18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 19;;;;;4;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;
Participant 20;;;;;;;;;;;;;1;1;2;5;1;5;1;1;;;;;;;;;;;;
Participant 21;;;;;;;;;3;3;4;4;;;;;;;;;;;;;;;;;;;;
Participant 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 23;3;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 24;;;;;;;;;;;;;;;;;;;;;5;1;1;1;1;5;1;1;;;;
Participant 25;;;;;2;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;
Participant 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;5;3
Participant 27;;;;;;;;;;;;;;;;;1;5;1;1;;;;;;;;;;;;
Participant 28;;;;;;;;;;;;;;;;;;;;;1;4;4;4;;;;;1;1;5;1
Participant 29;;;;;;;;;;;;;;;;;;;;;2;2;4;5;;;;;;;;
Participant 30;1;4;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 32;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;;;;
Participant 33;;;;;;;;;;;;;;;;;;;;;;;;;2;1;4;4;;;;
Participant 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 35;4;2;2;5;4;2;1;2;;;;;2;1;4;3;;;;;;;;;;;;;;;;
Participant 36;;;;;;;;;;;;;;;;;;;;;1;4;4;2;;;;;;;;
Participant 37;;;;;;;;;4;1;1;3;;;;;;;;;;;;;;;;;;;;
Participant 38;;;;;;;;;;;;;2;4;4;3;;;;;;;;;;;;;;;;
Participant 39;4;1;1;4;5;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;
Participant 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 41;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;4;;;;
Participant 42;;;;;;;;;;;;;3;3;3;3;;;;;;;;;;;;;;;;
Participant 43;;;;;;;;;4;1;1;5;;;;;;;;;;;;;;;;;;;;
Participant 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;5
Participant 45;;;;;;;;;;;;;;;;;2;4;3;2;;;;;;;;;;;;
Participant 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Participant 48;;;;;;;;;;;;;;;;;;;;;;;;;2;4;4;2;;;;
Participant 49;2;4;3;3;;;;;;;;;;;;;3;2;4;4;;;;;;;;;;;;
Participant 50;;;;;4;3;1;3;;;;;;;;;;;;;;;;;;;;;2;4;4;4
Participant 51;;;;;;;;;2;1;1;4;;;;;;;;;;;;;;;;;;;;
