Video Name,Label
VID_RGB_001,Angry
VID_RGB_002,Angry
VID_RGB_003,Angry
VID_RGB_004,Neutral
VID_RGB_005,Angry
VID_RGB_006,Neutral
VID_RGB_007,Neutral
VID_RGB_008,Neutral
VID_RGB_009,Angry
VID_RGB_010,Happy
VID_RGB_011,Neutral
VID_RGB_012,Sad
VID_RGB_013,Angry
VID_RGB_014,Neutral
VID_RGB_015,Neutral
VID_RGB_016,Sad
VID_RGB_017,Happy
VID_RGB_018,Happy
VID_RGB_019,Neutral
VID_RGB_020,Happy
VID_RGB_021,Angry
VID_RGB_022,Neutral
VID_RGB_023,Neutral
VID_RGB_024,Sad
VID_RGB_025,Happy
VID_RGB_026,Neutral
VID_RGB_027,Neutral
VID_RGB_028,Neutral
VID_RGB_029,Angry
VID_RGB_030,Angry
VID_RGB_031,Neutral
VID_RGB_032,Sad
VID_RGB_033,Neutral
VID_RGB_034,Happy
VID_RGB_035,Neutral
VID_RGB_036,Sad
VID_RGB_037,Neutral
VID_RGB_038,Sad
VID_RGB_039,Sad
VID_RGB_040,Sad
VID_RGB_041,Neutral
VID_RGB_042,Neutral
VID_RGB_043,Neutral
VID_RGB_044,Sad
VID_RGB_045,Happy
VID_RGB_046,Happy
VID_RGB_047,Neutral
VID_RGB_048,Sad
VID_RGB_049,Angry
VID_RGB_050,Angry
VID_RGB_051,Neutral
VID_RGB_052,Sad
VID_RGB_053,Angry
VID_RGB_054,Happy
VID_RGB_055,Neutral
VID_RGB_056,Neutral
VID_RGB_057,Neutral
VID_RGB_058,Neutral
VID_RGB_059,Neutral
VID_RGB_060,Neutral
VID_RGB_061,Neutral
VID_RGB_062,Neutral
VID_RGB_063,Neutral
VID_RGB_064,Neutral
VID_RGB_065,Angry
VID_RGB_066,Happy
VID_RGB_067,Neutral
VID_RGB_068,Sad
VID_RGB_069,Angry
VID_RGB_070,Happy
VID_RGB_071,Happy
VID_RGB_072,Sad
VID_RGB_073,Neutral
VID_RGB_074,Happy
VID_RGB_075,Neutral
VID_RGB_076,Neutral
VID_RGB_077,Angry
VID_RGB_078,Happy
VID_RGB_079,Neutral
VID_RGB_080,Neutral
VID_RGB_081,Angry
VID_RGB_082,Neutral
VID_RGB_083,Neutral
VID_RGB_084,Sad
